title,address,city,state,zipcode,type
BUFFALO WILD WINGS H.E.,2540 NEW SUTTON RD.,HOFFMAN ESTATES,IL,60192,Draft
MARGARITA'S,1241 LOMBARDI ACCESS RD,GREEN BAY,WI,54304,Draft
HENRY'S TAVERN,5741  LEGACY,PLANO,TX,75024,Draft
EDELWEISS,7650 W IRVING PARK RD,NORRIDGE,IL,60634,Draft
NOT YOUR AVERAGE JOE'S,1125 FALL RIVER AVE,SEEKONK,MA,02771,Draft
ST ALPHONSUS,1050 ARDMORE,WHEELING,IL,60143,Draft
MARO BROTHERS  (OLD CANAL,1500 RT. 38 E,HAINESPORT,NJ,08036,Draft
STONES LIQUOR,746 MAIN ST,MALDEN,MA,02148,Draft
JOHNNY'S CHOPHOUSE,1500 MAIN ST.,Antioch,IL,60002,Draft
MAEWYNS IRISH PUB,110 N GEORGE ST,YORK,PA,17401,Draft
LIFEBOAT PUB & PIZZA,1804 14TH STREET,TWO RIVERS,WI,54241,Draft
BIG ROBS LOOSE MOOSE,5310 CTY HWY E,LAND OLAKES,WI,54540,Draft
Chumley's Of Lafayette,122 N 3rd St,Lafayette,IN,47901,Draft
